# SPDX-License-Identifier: LGPL-2.1-or-later
# Source: libseccomp v2.6.0 src/syscalls.csv
# Source commit: c7c0caed1d04292500ed4b9bb386566053eb9775
# Source SHA-256: 3fc607fffc9c3b0aca77fd6ffc3aa0f86c61b90dc255baedfc396e9a5e102fdc
name,x86_64,aarch64
_llseek,PNR,PNR
_newselect,PNR,PNR
_sysctl,156,PNR
accept,43,202
accept4,288,242
access,21,PNR
acct,163,89
add_key,248,217
adjtimex,159,171
afs_syscall,183,PNR
alarm,37,PNR
arch_prctl,158,PNR
arm_fadvise64_64,PNR,PNR
arm_sync_file_range,PNR,PNR
atomic_barrier,PNR,PNR
atomic_cmpxchg_32,PNR,PNR
bdflush,PNR,PNR
bind,49,200
bpf,321,280
break,PNR,PNR
breakpoint,PNR,PNR
brk,12,214
cachectl,PNR,PNR
cacheflush,PNR,PNR
cachestat,451,451
capget,125,90
capset,126,91
chdir,80,49
chmod,90,PNR
chown,92,PNR
chown32,PNR,PNR
chroot,161,51
clock_adjtime,305,266
clock_adjtime64,PNR,PNR
clock_getres,229,114
clock_getres_time64,PNR,PNR
clock_gettime,228,113
clock_gettime64,PNR,PNR
clock_nanosleep,230,115
clock_nanosleep_time64,PNR,PNR
clock_settime,227,112
clock_settime64,PNR,PNR
clone,56,220
clone3,435,435
close,3,57
close_range,436,436
connect,42,203
copy_file_range,326,285
creat,85,PNR
create_module,174,PNR
delete_module,176,106
dup,32,23
dup2,33,PNR
dup3,292,24
epoll_create,213,PNR
epoll_create1,291,20
epoll_ctl,233,21
epoll_ctl_old,214,PNR
epoll_pwait,281,22
epoll_pwait2,441,441
epoll_wait,232,PNR
epoll_wait_old,215,PNR
eventfd,284,PNR
eventfd2,290,19
execve,59,221
execveat,322,281
exit,60,93
exit_group,231,94
faccessat,269,48
faccessat2,439,439
fadvise64,221,223
fadvise64_64,PNR,PNR
fallocate,285,47
fanotify_init,300,262
fanotify_mark,301,263
fchdir,81,50
fchmod,91,52
fchmodat,268,53
fchmodat2,452,452
fchown,93,55
fchown32,PNR,PNR
fchownat,260,54
fcntl,72,25
fcntl64,PNR,PNR
fdatasync,75,83
fgetxattr,193,10
finit_module,313,273
flistxattr,196,13
flock,73,32
fork,57,PNR
fremovexattr,199,16
fsconfig,431,431
fsetxattr,190,7
fsmount,432,432
fsopen,430,430
fspick,433,433
fstat,5,80
fstat64,PNR,PNR
fstatat64,PNR,PNR
fstatfs,138,44
fstatfs64,PNR,PNR
fsync,74,82
ftime,PNR,PNR
ftruncate,77,46
ftruncate64,PNR,PNR
futex,202,98
futex_requeue,456,456
futex_time64,PNR,PNR
futex_wait,455,455
futex_waitv,449,449
futex_wake,454,454
futimesat,261,PNR
get_kernel_syms,177,PNR
get_mempolicy,239,236
get_robust_list,274,100
get_thread_area,211,PNR
get_tls,PNR,PNR
getcpu,309,168
getcwd,79,17
getdents,78,PNR
getdents64,217,61
getegid,108,177
getegid32,PNR,PNR
geteuid,107,175
geteuid32,PNR,PNR
getgid,104,176
getgid32,PNR,PNR
getgroups,115,158
getgroups32,PNR,PNR
getitimer,36,102
getpagesize,PNR,PNR
getpeername,52,205
getpgid,121,155
getpgrp,111,PNR
getpid,39,172
getpmsg,181,PNR
getppid,110,173
getpriority,140,141
getrandom,318,278
getresgid,120,150
getresgid32,PNR,PNR
getresuid,118,148
getresuid32,PNR,PNR
getrlimit,97,163
getrusage,98,165
getsid,124,156
getsockname,51,204
getsockopt,55,209
gettid,186,178
gettimeofday,96,169
getuid,102,174
getuid32,PNR,PNR
getxattr,191,8
getxattrat,464,464
gtty,PNR,PNR
idle,PNR,PNR
init_module,175,105
inotify_add_watch,254,27
inotify_init,253,PNR
inotify_init1,294,26
inotify_rm_watch,255,28
io_cancel,210,3
io_destroy,207,1
io_getevents,208,4
io_pgetevents,333,292
io_pgetevents_time64,PNR,PNR
io_setup,206,0
io_submit,209,2
io_uring_enter,426,426
io_uring_register,427,427
io_uring_setup,425,425
ioctl,16,29
ioperm,173,PNR
iopl,172,PNR
ioprio_get,252,31
ioprio_set,251,30
ipc,PNR,PNR
kcmp,312,272
kexec_file_load,320,294
kexec_load,246,104
keyctl,250,219
kill,62,129
landlock_add_rule,445,445
landlock_create_ruleset,444,444
landlock_restrict_self,446,446
lchown,94,PNR
lchown32,PNR,PNR
lgetxattr,192,9
link,86,PNR
linkat,265,37
listen,50,201
listmount,458,458
listxattr,194,11
listxattrat,465,465
llistxattr,195,12
lock,PNR,PNR
lookup_dcookie,212,18
lremovexattr,198,15
lseek,8,62
lsetxattr,189,6
lsm_get_self_attr,459,459
lsm_list_modules,461,461
lsm_set_self_attr,460,460
lstat,6,PNR
lstat64,PNR,PNR
madvise,28,233
map_shadow_stack,453,453
mbind,237,235
membarrier,324,283
memfd_create,319,279
memfd_secret,447,447
migrate_pages,256,238
mincore,27,232
mkdir,83,PNR
mkdirat,258,34
mknod,133,PNR
mknodat,259,33
mlock,149,228
mlock2,325,284
mlockall,151,230
mmap,9,222
mmap2,PNR,PNR
modify_ldt,154,PNR
mount,165,40
mount_setattr,442,442
move_mount,429,429
move_pages,279,239
mprotect,10,226
mpx,PNR,PNR
mq_getsetattr,245,185
mq_notify,244,184
mq_open,240,180
mq_timedreceive,243,183
mq_timedreceive_time64,PNR,PNR
mq_timedsend,242,182
mq_timedsend_time64,PNR,PNR
mq_unlink,241,181
mremap,25,216
mseal,462,462
msgctl,71,187
msgget,68,186
